ESNERR_StCode,Region,Date,AvgOfTime,AvgOfDD_LAT,AvgOfDD_LONG,Temp C,Sal (PSU),AvgOfpH,DO SAT %,DO mg/L,Turb (NTU),Chl (ug/L),Floating Algae % Cover,Ammonia as N mg/L,Umol Ammonia,Nitrate as N (mg/L),Umol Nitrate,Nitrite as N (mg/L),MLML Nitrate mg/L,MCCL Phosphate (mg/L),Umol Phosphate,total Nitrogen,Free Ammonia (mg/L),Lab Chl a (ug/L)
RBR,Reserve,4/28/1990,0.56,36.8199,-121.7371,18.30,27.50,7.93,,6.35,7.00,,,0.10,7.11,0.04,2.90,0.00,,0.06,1.80,,0.00,0.00
RNM,Reserve,4/28/1990,0.60,36.8364,-121.7323,25.10,27.50,8.80,,,20.00,,,0.02,1.65,0.01,0.86,0.00,,0.19,6.16,,0.01,0.00
RSM,Reserve,4/28/1990,0.57,36.824,-121.74,21.50,26.00,8.50,,8.73,4.50,,,0.03,2.36,0.02,1.08,0.00,,0.05,1.68,,0.00,0.00
SKL,Lower Slough,4/28/1990,0.51,36.8106,-121.7864,17.20,21.00,7.99,,10.40,7.50,,,0.02,1.52,0.28,20.32,0.00,,0.04,1.28,,0.00,0.00
SP,Lower Slough,4/28/1990,0.66,36.8247,-121.7774,21.90,30.00,7.69,,11.89,15.00,,,0.01,1.00,0.01,0.61,0.00,,0.57,18.32,,0.00,0.00
SRB,Salinas River,4/28/1990,0.74,36.7321,-121.7807,20.50,0.00,8.00,,8.70,26.00,,,0.09,6.50,15.00,"1,071.39",0.00,,0.30,9.81,,0.00,0.00
SRL,Salinas River,4/28/1990,0.71,36.748,-121.7835,18.50,0.00,8.64,,9.00,28.00,,,0.05,3.34,15.80,"1,128.80",0.00,,0.10,3.10,,0.01,0.00
BSE,Lower Slough,5/12/1990,0.73,36.8215,-121.7834,21.00,23.90,7.85,,9.35,12.00,,,0.01,0.87,0.02,1.74,0.00,,0.45,14.61,,0.00,0.00
BSW,Lower Slough,5/12/1990,0.63,36.8209,-121.7909,18.50,20.00,7.99,,9.40,12.00,,,0.02,1.57,0.01,0.87,0.00,,0.07,2.15,,0.00,0.00
CC,Upper Slough,5/12/1990,0.60,36.8601,-121.7401,24.00,2.80,8.43,,15.20,55.00,,,0.32,23.15,0.67,47.93,0.00,,0.26,8.37,,0.04,0.00
HLE,Upper Slough,5/12/1990,0.58,36.8563,-121.7549,19.80,21.20,8.14,,5.80,9.50,,,0.04,3.00,0.14,10.30,0.00,,0.27,8.57,,0.00,0.00
HLW,Upper Slough,5/12/1990,0.59,36.8565,-121.755,20.40,21.30,8.06,,6.25,15.00,,,0.09,6.61,0.18,13.01,0.00,,0.23,7.56,,0.00,0.00
JR,Lower Slough,5/12/1990,0.74,36.8171,-121.7871,19.00,21.50,7.90,,9.30,15.00,,,0.01,0.54,0.02,1.30,0.00,,0.06,2.06,,0.00,0.00
KP,Upper Slough,5/12/1990,0.55,36.8398,-121.7437,18.40,23.10,7.87,,6.68,9.50,,,0.04,2.64,0.07,4.73,0.00,,0.02,0.74,,0.00,0.00
MCS,Lower Slough,5/12/1990,0.71,36.7963,-121.7832,21.80,21.20,8.40,,12.65,6.50,,,0.05,3.70,0.37,26.24,0.00,,0.08,2.60,,0.01,0.00
PRN,Tembladero Slough,5/12/1990,0.70,36.7908,-121.7904,16.70,19.80,7.68,,11.90,9.00,,,0.04,2.50,0.76,53.95,0.00,,0.12,3.88,,0.00,0.00
PRS,Tembladero Slough,5/12/1990,0.69,36.7904,-121.7907,22.00,4.90,7.98,,11.75,16.00,,,0.05,3.30,11.54,824.06,0.00,,0.17,5.47,,0.00,0.00
RBR,Reserve,5/12/1990,0.50,36.8199,-121.7371,17.00,23.10,7.83,,6.39,15.00,,,0.07,4.85,0.50,35.89,0.00,,0.21,6.70,,0.00,0.00
RNM,Reserve,5/12/1990,0.54,36.8364,-121.7323,22.10,27.00,8.34,,18.10,38.00,,,0.02,1.73,0.02,1.31,0.00,,0.18,5.72,,0.00,0.00
RSM,Reserve,5/12/1990,0.53,36.824,-121.74,20.00,23.80,7.80,,6.42,15.00,,,0.02,1.25,0.01,0.80,0.00,,0.09,2.80,,0.00,0.00
